species	haploid chromosome count	monobrachial chromosomes	bibachrial chromosomes	proportion monobrachial
Tachyglossus aculeatus	32	0	62	0
Zaglossus bruijni	32	0	62	0
Ornithorhynchus anatinus	27	0	52	0
Rhizomys sumatrensis	25	0	48	0
Gerbilliscus brantsii	17	22	10	0.69
Gerbilliscus robustus	18	0	34	0
Tatera indica	34	52	14	0.79
Meriones unguiculatus	22	10	32	0.24
Meriones shawi	22	10	32	0.24
Meriones libycus	22	12	30	0.29
Psammomys obesus	24	18	28	0.39
Taterillus lacustris	14	8	18	0.31
Taterillus gracilis	18	26	8	0.76
Taterillus arenarius	15	20	8	0.71
Taterillus pygargus	11	0	20	0
Taterillus harringtoni	22	22	20	0.52
Taterillus congicus	27	40	12	0.77
Taterillus petteri	9	4	12	0.25
Gerbillurus setzeri	30	40	18	0.69
Gerbillurus vallinus	30	44	14	0.76
Gerbillurus paeba	18	0	34	0
Gerbillus aquilus	19	0	36	0
Dipodillus campestris	28	40	14	0.74
Gerbillus pyramidum	19	0	36	0
Gerbillus andersoni	20	0	38	0
Gerbillus nigeriae	37	72	0	1
Ellobius lutescens	9	0	16	0
Dicrostonyx torquatus	23	36	8	0.82
Arvicola amphibius	18	0	34	0
Arvicola scherman	18	8	26	0.24
Microtus thomasi	22	41	1	0.98
Microtus duodecimcostatus	31	48	12	0.8
Microtus lusitanicus	31	50	10	0.83
Microtus multiplex	24	42	4	0.91
Microtus liechtensteini	23	40	4	0.91
Microtus subterraneus	26	46	4	0.92
Microtus tatricus	16	16	14	0.53
Microtus gerbei	27	48	4	0.92
Microtus savii	27	47	5	0.9
Microtus oeconomus	15	0	28	0
Microtus mexicanus	24	34	12	0.74
Microtus agrestis	25	44	4	0.92
Microtus cabrerae	27	44	8	0.85
Microtus arvalis	23	10	34	0.23
Microtus guentheri	27	52	0	1
Microtus oregoni	9	2	14	0.13
Lemmiscus curtatus	27	50	2	0.96
Lemmus amurensis	25	48	0	1
Lemmus lemmus	25	48	0	1
Lemmus sibiricus	25	44	4	0.92
Lemmus trimucronatus	25	44	4	0.92
Lagurus lagurus	27	44	8	0.85
Chionomys nivalis	27	52	0	1
Eothenomys miletus	28	54	0	1
Myodes rufocanus	28	52	2	0.96
Myodes glareolus	28	52	2	0.96
Alticola barakshin	28	50	4	0.93
Alticola argentatus	28	50	4	0.93
Alticola semicanus	28	48	6	0.89
Alticola strelzowi	28	50	4	0.93
Bandicota bengalensis	21	24	16	0.6
Apodemus flavicollis	25	48	0	1
Apodemus sylvaticus	24	46	0	1
Apodemus peninsulae	24	46	0	1
Rhabdomys pumilio	23	28	16	0.64
Vandeleuria oleracea	15	16	12	0.57
Arvicanthis niloticus	29	42	14	0.75
Arvicanthis abyssinicus	31	60	0	1
Acomys dimidiatus	19	4	32	0.11
Acomys airensis	21	14	26	0.35
Uranomys ruddi	29	48	8	0.86
Melomys cervinipes	24	40	6	0.87
Melomys burtoni	24	42	4	0.91
Uromys caudimaculatus	23	38	6	0.86
Zyzomys argurus	22	38	4	0.9
Zyzomys woodwardi	22	38	4	0.9
Leporillus conditor	23	36	8	0.82
Conilurus penicillatus	24	42	4	0.91
Mesembriomys gouldii	24	42	4	0.91
Pseudomys delicatulus	24	40	6	0.87
Pseudomys nanus	24	42	4	0.91
Pseudomys fumeus	24	42	4	0.91
Pseudomys novaehollandiae	24	40	6	0.87
Pseudomys fieldi	24	42	4	0.91
Pseudomys higginsi	24	40	6	0.87
Pseudomys shortridgei	24	42	4	0.91
Pseudomys albocinereus	24	42	4	0.91
Pseudomys gracilicaudatus	24	36	10	0.78
Pseudomys australis	24	38	8	0.83
Pseudomys desertor	24	42	4	0.91
Pseudomys hermannsburgensis	24	42	4	0.91
Pseudomys occidentalis	24	40	6	0.87
Mastacomys fuscus	24	36	10	0.78
Notomys fuscus	24	44	2	0.96
Notomys cervinus	24	16	30	0.35
Notomys alexis	24	42	4	0.91
Notomys mitchellii	24	38	8	0.83
Rattus leucopus	17	8	24	0.25
Rattus norvegicus	21	22	18	0.55
Rattus rattus	19	14	22	0.39
Rattus tunneyi	21	22	18	0.55
Rattus fuscipes	19	16	20	0.44
Rattus sordidus	16	2	28	0.07
Rattus lutreolus	21	24	16	0.6
Lemniscomys rosalia	24	30	16	0.65
Dasymys incomtus	19	28	8	0.78
Malacomys longipes	24	44	2	0.96
Parotomys brantsii	21	2	38	0.05
Phloeomys cumingi	20	20	18	0.53
Hydromys chrysogaster	24	42	4	0.91
Xeromys myoides	24	42	4	0.91
Hylomyscus stella	23	20	24	0.45
Praomys daltoni	18	34	0	1
Mus musculus	20	38	0	1
Mus booduga	20	38	0	1
Mus terricolor	20	38	0	1
Mus spretus	20	38	0	1
Mus setulosus	18	34	0	1
Mus oubanguii	14	20	6	0.77
Mus mattheyi	18	34	0	1
Mastomys natalensis	18	12	22	0.35
Mastomys huberti	16	16	14	0.53
Calomyscus urartensis	16	18	12	0.6
Calomyscus mystax	22	38	4	0.9
Mesocricetus newtoni	19	0	36	0
Mesocricetus brandti	21	0	40	0
Mesocricetus auratus	22	10	32	0.24
Phodopus roborovskii	17	8	24	0.25
Phodopus sungorus	14	4	22	0.15
Tscherskia triton	14	22	4	0.85
Cricetulus barabensis	11	6	14	0.3
Holochilus brasiliensis	26	45	5	0.89
Holochilus sciureus	22	28	14	0.67
Auliscomys boliviensis	11	10	10	0.5
Loxodontomys micropus	17	30	2	0.94
Auliscomys sublimis	14	22	4	0.85
Phyllotis darwini	19	0	36	0
Phyllotis caprinus	19	0	36	0
Phyllotis haggardi	19	0	36	0
Phyllotis amicus	19	0	36	0
Paralomys gerbillus	19	0	36	0
Phyllotis magister	19	0	36	0
Phyllotis osgoodi	20	4	34	0.11
Oligoryzomys fulvescens	30	42	16	0.72
Nectomys palmipes	8	6	8	0.43
